status;avgMeasuredTime;avgSpeed;extID;medianMeasuredTime;TIMESTAMP;vehicleCount;_id;REPORT_ID
1;66;60;1018;66;2014-02-13T11:30:00;10;190350;158836
2;68;60;1018;68;2014-02-13T11:35:00;10;190799;158836
3;68;35;1018;68;2014-02-13T11:40:00;10;191248;158836
4;76;36;1018;76;2014-02-13T11:45:00;10;191697;158836
5;76;36;1018;76;2014-02-13T11:50:00;10;192146;158836
6;64;37;1018;64;2014-02-13T11:55:00;10;192595;158836
7;63;60;1018;63;2014-02-13T12:00:00;10;193044;158836
8;66;60;1018;66;2014-02-13T12:05:00;10;193493;158836
9;66;60;1018;66;2014-02-13T12:10:00;30;193942;158836
10;68;60;1018;68;2014-02-13T12:15:00;30;194391;158836
11;72;60;1018;72;2014-02-13T12:20:00;30;194840;158836
12;66;60;1018;66;2014-02-13T12:25:00;30;195289;158836
13;66;60;1018;66;2014-02-13T12:30:00;30;195738;158836
14;68;60;1018;68;2014-02-13T12:35:00;10;196187;158836
15;67;60;1018;67;2014-02-13T12:40:00;10;196636;158836
16;70;35;1018;70;2014-02-13T12:45:00;30;197085;158836
17;66;36;1018;66;2014-02-13T12:50:00;30;197534;158836
18;64;36;1018;64;2014-02-13T12:55:00;30;197983;158836
19;68;35;1018;68;2014-02-13T13:00:00;30;198432;158836
20;69;36;1018;69;2014-02-13T13:05:00;30;198881;158836
21;64;36;1018;64;2014-02-13T13:10:00;30;199330;158836
22;64;35;1018;64;2014-02-13T13:15:00;30;199779;158836
23;70;36;1018;70;2014-02-13T13:20:00;30;200228;158836
24;68;36;1018;68;2014-02-13T13:25:00;10;200677;158836
25;68;37;1018;68;2014-02-13T13:30:00;10;201126;158836
26;64;60;1018;64;2014-02-13T13:35:00;10;201575;158836
27;65;60;1018;65;2014-02-13T13:40:00;10;202024;158836
28;69;35;1018;69;2014-02-13T13:45:00;30;202473;158836
29;71;36;1018;71;2014-02-13T13:50:00;30;202922;158836
30;68;60;1018;68;2014-02-13T13:55:00;10;203371;158836
31;66;60;1018;66;2014-02-13T14:00:00;10;203820;158836
